Sample,Subgroup,17:35076296-35282086,22:26999547-27819338,9:153131-194193,16:59325545-61138989,3:16617887-16778176,6:32672983-32702995,3:18712267-19922255,12:51241859-52425218,22:22725750-22731544,12:70462057-70560603,4:56204828-56528111,12:63574243-64694907,5:802518-826044,1:199087690-199111062,6:18550170-19001738,3:46761824-46823673,17:61247968-61578637,16:50733339-51847185,1:149369522-149394958,6:32605300-32629848,3:196908262-196937230,7:143321677-143391065,14:21420105-21448635,5:763494-786455,1:193480150-193527058,18:22269177-22793854,9:121348401-124114869,1:13520352-15852641,16:69391442-69397102,5:60285997-62401952,3:19936335-24520200,5:69274433-70345552,2:216395222-217154796,8:39870841-39957091,1:471671-786483,8:39368509-39505256,6:204528-238441,11:182372-223502,16:71180297-71797476,4:70334625-70410860,20:45124342-45222725,6:62077839-62654445,6:29939288-29950805,16:68710277-68751390,16:72933295-73012768,12:84542006-85443011,6:40747924-42826227,14:21464924-21511829,1:149579637-149582884,1:2664285-2665530,20:58516115-59189405,5:34119335-34407822,23:422315-462468,18:61430694-62786765,6:29962849-30010234,17:77442683-77478901,22:37683612-37705310,14:42076777-43555063,13:56645552-56673183,9:40361684-40520747,6:64750730-65951879,6:5839-85465,8:11903901-12448374,8:7040596-7261418,1:145647143-145716245,5:150148732-150201145,17:16578627-16713678,3:9779380-9918123,6:19049822-20716660,6:97827305-98245127,16:30561643-31835555,8:55862289-56770315,1:239391358-239517083,17:21211558-21386260,8:31906730-32154763,7:38065862-38069416,11:70519863-70552702,14:21518235-22000194,9:42913008-43066618,22:22672513-22676549,1:141474904-141491470,19:232836-236846,20:55315764-55877718,8:5952862-6907624,17:20959898-21204422,14:105654998-105693581,17:2145322-2286311,8:12511855-12602139
Array.48,HR+,1,-1,-1,0,-1,-1,-1,1,-1,1,1,1,0,-1,0,-1,1,0,0,-1,0,1,0,0,1,1,0,0,0,0,-1,0,1,2,0,0,0,-1,0,0,1,-1,0,-1,-1,1,0,0,1,0,1,0,1,-1,0,0,-1,1,-1,0,-1,0,-1,-1,1,1,-1,-1,0,-1,1,1,1,0,-1,1,1,0,0,0,0,-1,1,-1,-1,-1,-1,-1
Array.6,HER2+,2,0,-1,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,1,-1,-1,0,0,0,1,1,0,0,1,0,1,0,-1,-1,1,0,-1,-1,-1,-1,1,0,-1,0,1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,-1,-1,0,-1,-1
Array.39,HR+,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,1,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,-1,1,1,0,-1,0,0,0,0,-1,-1,0,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Array.86,HR+,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,-1,0,1,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,-1,1,0,0,0,-1,1,-1,1,1,-1,0,0,0,-1,-1,0,-1,-1
Array.112,Triple Neg,-1,0,0,0,-1,1,-1,-1,-1,0,0,0,1,0,-1,-1,-1,0,-1,-1,1,0,0,1,0,0,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,-1,0,0,1,-1,0,0,1,0,1,0,0,1,1,-1,1,1,-1,0,-1,0,0,-1,1,1,0,-1,-1,-1,0,0,0,0,1,-1,0,0,-1,0,0,0,0,-1,0,1,-1,0,-1,1
Array.79,HER2+,2,-1,0,-1,0,0,0,0,0,0,0,0,2,1,0,0,0,-1,1,-1,0,0,0,2,1,-1,0,0,-1,1,0,0,-1,0,0,1,-1,0,-1,0,0,0,0,-1,-1,0,0,0,1,0,0,1,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,-1,1,-1,-1,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,1,0,-1,-1,0,-1,-1
Array.124,HR+,0,0,-1,1,1,0,1,1,0,1,1,1,-1,0,0,0,1,0,-1,0,1,2,1,-1,1,0,0,0,1,0,1,1,1,-1,0,-1,0,0,1,1,1,1,1,0,1,1,-1,1,1,0,1,1,1,0,1,2,1,1,-1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,-1,1,2,1,1,1,1,2,1,-1,0,1,0,0
Array.19,HER2+,2,0,-1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,-1,0,0,0,1,1,0,0,-1,1,-1,0,-1,0,-1,0,-1,-1,-1,1,0,1,0,0,1,1,-1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,1,1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,1,-1,-1,0,-1,-1
Array.106,HER2+,2,0,0,-1,1,1,1,1,0,1,0,1,1,1,1,1,-1,-1,0,1,0,0,1,1,1,-1,1,-1,-1,1,1,0,0,-1,0,1,0,0,-1,0,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,0,0,1,-1,0,1,0,-1,-1,1,-1,-1,1,1,0,1,2,1,-1,-1,1,-1,1,0,0,1,2,1,-1,-1,0,-1,-1
Array.95,HR+,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,-1,1,0,0,-1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0
Array.17,HER2+,2,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,-1,0,0,-1,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,1,0,-1,0,1,0,0,-1,-1,0,0,-1,1,0,1,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,1,0,-1,-1,0,1,0,-1,0,0,0,0,1,0,-1,1,-1,0
Array.33,HR+,-1,-1,1,1,0,0,0,1,-1,1,0,2,1,1,0,0,0,1,1,-1,0,1,1,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,1,1,-1,0,0,0,1,1,0,0,1,0,0,1,1,-1,1,-1,-1,1,0,-1,-1,1,0,-1,0,0,0,1,0,1,-1,-1,1,1,1,0,-1,1,-1,0,-1,-1,1,-1,-1
Array.138,HER2+,2,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,-1,0,2,-1,0,0,0,0,1,-1,0,-1,0,-1,0,-1,0,0,0,-1,1,0,0,1,1,1,1,0,-1,1,1,0,1,-1,1,-1,0,-1,1,-1,0,0,-1,0,1,0,-1,0,1,0,-1,0,1,-1,1,0,1,-1,-1,0,0,0,0,-1,1,0,1,-1,-1,0,-1,-1
Array.149,HR+,1,-1,-1,-1,0,-1,0,1,-1,0,0,1,1,1,0,-1,1,2,-1,-1,1,0,1,1,1,0,0,-1,-1,-1,0,-1,0,1,0,0,0,0,-1,0,1,0,-1,-1,-1,0,-1,1,1,1,1,1,0,0,-1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,0,-1,-1,0,1,1,-1,-1,1,-1,1,1,0,2,0,1,-1,-1,0,-1,-1
Array.101,HR+,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,-1,0,1,2,1,1,0,1,1,0,1,1,1,1,0,1,-1,1,0,0,0,1,1,1,0,0,1,0,2,1,1,2,1,1,0,-1,1,0,2,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,2,0,2,1,1,1,-1,2,0,0,2,0,0
Array.90,Triple Neg,-1,-1,0,0,0,0,0,-1,-1,0,0,0,-1,1,0,0,0,0,-1,-1,1,0,0,-1,1,-1,0,-1,0,0,0,0,0,-1,1,1,-1,-1,0,0,0,0,0,0,0,-1,0,0,1,-1,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,0,-1,0
Array.99,Triple Neg,0,-1,-1,1,-1,0,-1,0,-1,0,0,0,-1,0,0,-1,0,1,-1,1,-1,0,0,-1,1,0,0,0,1,0,-1,0,0,0,0,1,1,0,1,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,1,0,1,0,0,0,-1,0,0,1,1,-1,0,0,0,0,0,0
Array.57,Triple Neg,0,0,0,0,1,1,1,0,0,0,-1,0,-1,1,1,1,0,0,-1,1,1,1,0,0,1,0,0,-1,0,0,1,0,0,0,1,0,-1,0,0,-1,0,1,1,-1,0,0,1,0,1,-1,0,0,0,0,1,0,-1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,-1,0,0,-1,1,0,0,0,0,0,0,0
Array.105,HER2+,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,1,0,0,1,0,0,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,-1,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,1,1,0,-1,1,-1,1,1,0,0,0,1,-1,0,0,0,-1
Array.85,HR+,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,1,-1,0,0,1,0,0,-1,-1,0,-1,0,2,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,0,0,1,1,-1,0,1,-1,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,1,1,0,0,-1,0,-1,-1,0,-1,0,-1,0,-1,0,-1,-1,-1
Array.114,Triple Neg,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,1,0,-1,-1,0,0,-1,1,0,0,0,1,0,0,-1,0,0,-1,0,0,-1,-1,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,-1,0,0,-1,0,1,1,-1,0,-1,0,0,-1,-1,-1,0,0,-1,-1,0,-1,0,0,1,-1,-1,0,1,0,0,0,0,-1,0,-1,-1,0,-1,-1
Array.5,Triple Neg,-1,1,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,1,-1,1,0,0,-1,0,1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,-1,1,-1,0,-1,0,-1,-1,0,1,-1,-1,0,1,-1,1,1,-1,0,1,1,1,1,0,-1,1,0,0,-1,-1,-1,0,-1,-1,-1,1,-1,0,0,0,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1
Array.8,HR+,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,-1,1,0,0,0,0,1,0,0,1,-1,1,0,0,0,0,1,-1,1,0,0,0,0,-1,-1,1,0,2,0,0,-1,1,1,0,1,-1,0,0,0,0,0,0,-1,1,-1,1,1,-1,-1
Array.148,HER2+,2,0,-1,0,1,-1,1,0,0,0,2,0,0,0,1,-1,1,0,0,-1,1,0,1,0,0,1,1,-1,0,-1,1,0,-1,1,0,1,1,1,0,2,2,0,-1,0,0,0,0,1,0,0,2,0,0,1,-1,1,-1,1,-1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,-1,1,0,-1,0,-1,2,-1,1,0,-1,-1
Array.42,HER2+,2,-1,-1,1,0,0,0,0,-1,0,0,0,1,0,1,0,0,1,1,-1,0,0,1,1,1,0,1,0,1,0,0,0,-1,-1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,-1,1,-1,0,1,0,-1,-1,0,0,-1,0,2,1,0,2,1,-1,-1,2,-1,1,0,-1,0,-1,0,-1,-1,0,-1,-1
Array.102,Triple Neg,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,1,-1,0,0,-1,-1,1,-1,1,0,-1,0,0,-1,0,0,-1,0,0,0,0,1,-1,0,0,0,0,1,1,-1,-1,0,1,1,1,-1,0,0,1,-1,1,2,-1,1,-1,0,1,-1,0,0,0,-1,-1,0,1,-1,0,0,1,-1,0,0,-1,1,1,0,1,-1,0,0,-1,0,0,0
Array.55,HER2+,2,0,0,0,-1,-1,-1,0,0,0,0,0,1,-1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,0,0,0,-1,-1,-1,0,-1,1,1,0,0,0,0,1,-1,1,0,0,0,-1,0,1,1,1,1,1,-1,1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,2,-1,-1,-1,1,0,0,0,-1,0,-1,1,-1,-1,0,-1,-1
Array.43,HR+,0,0,0,-1,0,-1,0,0,-1,0,1,0,1,0,-1,0,0,-1,-1,-1,0,0,1,0,-1,0,0,0,-1,0,0,0,0,2,0,2,-1,0,-1,1,0,-1,-1,-1,-1,0,-1,1,1,0,0,0,1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,1,2,0,0,-1,0,0,1,0,0,0,-1,0,-1,0,0,0,-1
Array.159,Triple Neg,-1,1,-1,0,-1,0,-1,-1,1,-1,0,-1,1,0,1,-1,2,0,-1,-1,-1,0,1,1,0,1,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,1,0,0,-1,0,1,1,0,0,0,1,0,1,-1,0,0,-1,0,0,-1,-1,0,1,-1,0,-1,1,0,0,0,1,-1,-1,0,-1,1,1,1,0,-1,0,0,-1,0,-1,-1
Array.52,HR+,-1,0,-1,-1,0,-1,0,0,0,0,0,1,1,1,0,0,1,-1,0,-1,1,1,0,1,1,0,0,0,-1,0,0,0,0,1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,1,1,1,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,1,1,0,-1,-1,0,0,0,-1,-1,0,-1,2,-1,-1,-1,-1,-1
Array.152,HER2+,2,0,1,-1,0,0,0,0,0,1,0,1,1,0,0,-1,-1,1,0,0,0,1,1,1,0,-1,0,0,-1,-1,0,-1,0,1,0,2,0,-1,-1,0,0,0,0,-1,-1,1,0,1,0,0,0,1,0,-1,0,-1,-1,0,-1,1,0,0,-1,-1,0,-1,-1,0,0,1,1,1,0,-1,-1,0,-1,1,1,0,0,0,0,-1,-1,1,-1,-1
Array.50,Triple Neg,0,1,1,1,0,0,0,0,1,0,1,0,-1,1,1,0,1,1,1,0,2,1,0,-1,1,0,1,1,1,-1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,2,1,1,1,1,0,1,1,-1,1,1,1,1,0,-1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1
Array.94,HR+,0,0,-1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,-1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,1,0,2,0,1,0,0,2,-1,0,-1,0,0,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,1,0,1,0,-1,0,-1,-1,0,0,0,0,0
Array.153,Triple Neg,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,-1,1,0,1,0,1,0,0,-1,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,0,0,0,0,1,1,0,1,-1,0,1,0,-1,-1,1,-1,-1,-1,1,0,1,0,1,-1,-1,-1,-1,1,0,-1,1,0,0,-1,-1,-1,0,-1
Array.51,HER2+,2,1,-1,0,1,1,1,0,1,0,1,0,2,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,-1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,-1,-1,1,0,0,1,1,1,1,2,1,0,-1,0,1,1,1,-1,1,0,1,-1,0,1,0,-1
Array.142,HR+,1,-1,-1,1,1,1,1,1,-1,1,0,1,1,1,1,1,1,1,2,-1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,-1,0,0,1,-1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,-1,0,-1,1,1,0,0,0,1,1,-1,1,1,0,1,0,1,-1,0,1,-1,0,1,1,0,0,1,0,-1,0,-1,0
Array.37,HR+,0,-1,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,0,1,1,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,0,-1,0,0,0,0,0,0
Array.18,HER2+,2,0,-1,0,-1,0,-1,-1,0,0,0,0,1,0,0,-1,0,0,2,0,0,0,0,1,1,-1,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,0,0,-1,1,0,-1,0,-1,-1,1,0,-1,-1,0,-1,1,-1,1,-1,-1,0,0,0,0,0,1,-1,1,-1,-1,0,-1,-1
Array.82,HR+,0,0,0,0,0,-1,0,1,0,1,0,1,0,0,0,0,1,0,-1,-1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-1,0,0,-1,0,1,0,1,1,0,0,0,1,0,0,1,-1,1,1,0,0,0,0,0,1,0,-1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,-1,0,0,0,1,-1,0
Array.75,HER2+,2,0,-1,0,-1,-1,-1,0,0,0,-1,0,1,-1,0,-1,0,0,-1,-1,-1,1,0,0,0,-1,1,0,0,-1,-1,-1,0,-1,0,1,0,-1,0,-1,0,0,1,-1,-1,0,0,0,1,0,0,0,1,-1,1,-1,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,0,1,0,0,-1,-1,-1,1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
Array.139,HER2+,2,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,1,-1,1,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1,1,0,-1,0,0,0,0,1,1,0,-1,0,0,0,0,0,1,0,0,-1,0,0,-1,-1
Array.117,HR+,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,2,-1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,-1,1,-1,-1,0,0,0,1,0,0,0,0,0,1,0,-1,1,0,1,-1,-1,-1,-1,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,-1,0,0,0,-1,0,0,0,-1
Array.60,HR+,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,2,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,0,-1,-1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Array.72,HER2+,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,1,1,0,1,0,-1,0,0,1,0,0,1,-1,0,0,0,-1
Array.104,Triple Neg,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Array.111,Triple Neg,0,1,1,1,0,1,-1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,2,1,0,1,1,0,-1,0,0,-1,0,1,1,1,-1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,-1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,-1,1,0,1,1,1,1,0,1,-1,0,1,0,0
Array.53,HER2+,2,0,-1,-1,0,-1,0,0,-1,0,-1,0,1,0,-1,0,0,-1,-1,-1,1,-1,0,1,-1,-1,1,0,-1,0,0,-1,-1,0,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,-1,0,-1,0
Array.71,Triple Neg,0,0,-1,0,-1,0,-1,-1,0,0,0,0,0,1,0,-1,0,0,1,-1,1,0,-1,-1,1,-1,0,0,1,-1,-1,-1,0,0,1,0,0,-1,0,0,0,-1,0,-1,-1,0,2,-1,1,1,0,0,0,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,2,0,1,1,1,-1,-1,-1,-1,0,-1,1,0,0,-1,1,-1,0,-1
